Municipios,Arracacha,Cebolla Bulbo-A,Cebolla Bulbo-B,Papa-A,Papa-B,Papachina,Remolacha -A,Remolacha -B,Zanahoria- A,Zanahoria- B,Yuca,Año
Cali,0,0,0,0,0,0,0,0,35,80,488,2018
Alcalá,0,0,0,0,0,0,0,0,0,0,384,2018
Andalucia,0,0,0,0,0,0,0,0,0,0,0,2018
Ansermanuevo,0,0,0,0,0,0,0,0,0,0,0,2018
Argelia,0,0,0,0,0,0,0,0,0,0,0,2018
Bolivar,1100,0,0,0,0,0,0,0,0,0,1250,2018
Buenaventura,0,0,0,0,0,2100,0,0,0,0,273,2018
Buga,45,0,0,24,24,0,0,0,0,0,55,2018
Bugalagrande,0,0,0,0,0,0,0,0,0,0,0,2018
Caicedonia,0,0,0,0,0,0,0,0,0,0,396,2018
Calima Darien,0,0,0,0,0,0,0,0,0,0,315,2018
Candelaria,0,0,0,0,0,0,0,0,0,0,0,2018
Cartago,0,0,0,0,0,0,0,0,0,0,0,2018
Dagua,348,0,0,0,0,280,0,0,0,0,1450,2018
El Aguila,0,0,0,0,0,0,0,0,0,0,63,2018
El Cairo,0,0,0,0,0,0,0,0,0,0,60,2018
El Cerrito,0,286,286,0,0,0,0,0,0,0,0,2018
El Dovio,1600,0,0,0,0,0,0,0,0,0,300,2018
Florida,0,0,0,20,20,0,0,0,0,0,666.4,2018
Ginebra,0,0,0,0,0,0,0,0,0,0,0,2018
Guacarí,32,0,0,0,0,0,0,0,0,0,465,2018
Jamundí,0,0,0,0,0,0,0,0,0,0,60,2018
La Cumbre,0,0,0,0,0,0,0,0,0,0,91.5,2018
La Unión,45,0,0,0,0,0,0,0,0,0,70,2018
La Victoria,0,0,0,0,0,0,0,0,0,0,48,2018
Obando,0,0,0,0,0,0,0,0,0,0,0,2018
Palmira,8.8,18,27.5,0,0,0,0,0,0,0,454.2,2018
Pradera,0,0,0,0,0,0,0,0,0,0,0,2018
Restrepo,0,0,0,0,0,0,0,0,0,0,140,2018
Riofrío,0,0,0,0,0,0,0,0,0,0,200,2018
Roldanillo,325,0,0,0,0,0,0,0,0,0,180,2018
San Pedro,0,0,0,0,0,0,0,0,0,0,126,2018
Sevilla,0,0,0,0,0,0,0,0,0,0,200,2018
Toro,0,0,0,0,0,0,0,0,0,0,150,2018
Trujillo,100,0,0,0,0,0,0,0,0,0,300,2018
Tuluá,63,0,0,2000,4420,0,0,0,810,650,72,2018
Ulloa,0,0,0,0,0,0,0,0,0,0,12,2018
Versalles,180,0,0,0,0,0,0,0,0,0,60,2018
Vijes,64,180,180,0,0,0,0,0,0,0,300,2018
Yotoco,18,0,0,0,0,0,0,0,0,0,500,2018
Yumbo,0,60,30,0,0,0,0,0,0,0,0,2018
Zarzal,0,0,0,0,0,0,0,0,0,0,66,2018
TOTAL,3402.4,912,912,3170,3510,1800,0,0,882,822,10571.9,2019
Cali,0,0,0,0,0,0,0,0,72,72,208,2019
Alcalá,0,0,0,0,0,0,0,0,0,0,600,2019
Andalucia,0,0,0,0,0,0,0,0,0,0,0,2019
Ansermanuevo,0,0,0,0,0,0,0,0,0,0,0,2019
Argelia,0,0,0,0,0,0,0,0,0,0,0,2019
Bolivar,1023,0,0,0,0,0,0,0,0,0,1825,2019
Buenaventura,0,0,0,0,0,1800,0,0,0,0,560,2019
Buga,72,0,0,100,100,0,0,0,0,0,36,2019
Bugalagrande,0,0,0,0,0,0,0,0,0,0,0,2019
Caicedonia,0,0,0,0,0,0,0,0,0,0,902,2019
Calima Darien,0,0,0,0,0,0,0,0,0,0,270,2019
Candelaria,0,0,0,0,0,0,0,0,0,0,0,2019
Cartago,0,0,0,0,0,0,0,0,0,0,0,2019
Dagua,238,0,0,0,0,0,0,0,0,0,2000,2019
El Aguila,0,0,0,0,0,0,0,0,0,0,18,2019
El Cairo,0,0,0,0,0,0,0,0,0,0,20,2019
El Cerrito,0,450,450,0,0,0,0,0,0,0,0,2019
El Dovio,1130,0,0,0,0,0,0,0,0,0,342,2019
Florida,8,0,0,70,10,0,0,0,0,0,540,2019
Ginebra,0,0,0,0,0,0,0,0,0,0,0,2019
Guacarí,48,0,0,0,0,0,0,0,0,0,72,2019
Jamundí,0,0,0,0,0,0,0,0,0,0,70,2019
La Cumbre,0,0,0,0,0,0,0,0,0,0,54.9,2019
La Unión,47.7,0,0,0,0,0,0,0,0,0,75,2019
La Victoria,0,0,0,0,0,0,0,0,0,0,180,2019
Obando,0,0,0,0,0,0,0,0,0,0,190,2019
Palmira,48,230,230,0,0,0,0,0,0,0,288,2019
Pradera,0,0,0,0,0,0,0,0,0,0,0,2019
Restrepo,0,0,0,0,0,0,0,0,0,0,168,2019
Riofrío,0,0,0,0,0,0,0,0,0,0,126,2019
Roldanillo,273,0,0,0,0,0,0,0,0,0,144,2019
San Pedro,0,0,0,0,0,0,0,0,0,0,450,2019
Sevilla,0,0,0,0,0,0,0,0,0,0,400,2019
Toro,0,0,0,0,0,0,0,0,0,0,0,2019
Trujillo,0,0,0,0,0,0,0,0,0,0,35,2019
Tuluá,42,60,60,3000,3400,0,0,0,810,750,84,2019
Ulloa,0,0,0,0,0,0,0,0,0,0,72,2019
Versalles,375,0,0,0,0,0,0,0,0,0,120,2019
Vijes,48,88,88,0,0,0,0,0,0,0,270,2019
Yotoco,12.8,0,0,0,0,0,0,0,0,0,200,2019
Yumbo,37,84,84,0,0,0,0,0,0,0,214,2019
Zarzal,0,0,0,0,0,0,0,0,0,0,38,2019
