Municipios,Año,Cacao,Cafè,Caña de azucar (1),Caña panelera (1),Plátano (2)
Cali,2018,0.00,799.80,"465,000.00",0.00,198.00
Alcalà,2018,0.00,"2,854.00",0.00,0.00,"11,205.00"
Andalucia,2018,27.00,198.48,"316,800.00",0.00,"1,650.00"
Ansermanuevo,2018,24.30,"3,291.41","177,960.00","6,160.00","7,086.30"
Argelia,2018,0.80,"1,517.04",0.00,"2,128.00","10,584.00"
Bolivar,2018,414.00,"1,387.00","72,720.00","23,808.00","5,356.00"
Buenaventura,2018,63.00,0.00,0.00,"2,550.00","1,162.00"
Buga,2018,5.00,0.00,"779,460.00","1,330.00",132.00
Bugalagrande,2018,77.40,"1,510.80","1,118,130.00","14,735.00","1,992.00"
Caicedonia,2018,42.30,"5,692.20","15,000.00",550.00,"23,474.00"
Calima Darién,2018,1.20,435.00,0.00,"7,160.00","1,672.00"
Candelaria,2018,1.60,0.00,"2,752,360.00","74,425.00",75.00
Cartago,2018,5.60,249.40,"533,755.60","3,510.00","1,548.00"
Dagua,2018,265.60,779.03,0.00,"15,100.00","16,485.00"
El Aguila,2018,16.00,"7,061.28",0.00,"2,400.00","15,870.00"
El Cairo,2018,0.00,"4,117.46",0.00,"3,750.00","23,745.00"
El Cerrito,2018,0.00,191.00,"2,035,800.00",0.00,0.00
El Dovio,2018,27.20,"1,047.00",0.00,"13,900.00",745.00
Florida,2018,16.00,"4,584.00","1,314,300.00",0.00,"3,240.00"
Ginebra,2018,0.00,"1,091.25","356,400.00","3,120.00",392.00
Guacarì,2018,0.50,302.80,"1,679,232.00","3,570.00",270.00
Jamundì,2018,139.80,"1,074.20","828,630.00","3,180.00",486.50
La Cumbre,2018,0.00,661.60,0.00,735.00,"3,777.40"
La Unión,2018,2.31,467.80,"229,120.00",0.00,252.00
La Victoria,2018,12.00,"1,174.00","195,000.00","1,500.00",760.00
Obando,2018,9.96,584.40,"643,550.00","3,978.00","4,666.20"
Palmira,2018,7.50,380.70,"4,407,000.00","12,460.00","1,416.00"
Pradera,2018,0.00,516.40,"1,047,750.00",0.00,100.00
Restrepo,2018,0.00,560.61,0.00,"22,425.00","3,839.00"
Riofrìo,2018,59.00,"3,762.98","251,500.00","9,280.00","29,912.00"
Roldanillo,2018,5.70,623.92,"339,917.50",396.00,929.76
San Pedro,2018,0.00,403.08,"618,490.00","31,415.00",0.00
Sevilla,2018,10.80,"5,777.00","8,000.00","11,900.00","76,464.00"
Toro,2018,8.00,"1,505.00","223,740.00",0.00,"1,450.00"
